item_id,vendor_code,retail_price,qty_on_hand,expiry_date
SKU-1149,V-94,44.6,78,2027-01-08
SKU-1150,V-11,89.65,150,2027-04-11
SKU-1151,V-24,9.2,411,2027-04-14
SKU-1152,V-43,81.31,55,2027-07-04
SKU-1153,V-30,43.01,130,2027-01-30
SKU-1154,V-50,15.99,367,2027-11-18
SKU-1155,V-34,4.37,20,2027-03-21
SKU-1156,V-68,79.72,383,2027-10-09
SKU-1157,V-38,14.15,483,2027-11-28
SKU-1158,V-92,71.79,430,2027-04-05
SKU-1159,V-92,70.75,58,2027-06-09
SKU-1160,V-17,50.25,7,2027-08-01
SKU-1161,V-12,11.24,60,2027-12-05
SKU-1162,V-73,51.9,128,2027-01-09
SKU-1163,V-12,63.14,449,2027-10-12
SKU-1164,V-97,52.22,194,2027-07-04
SKU-1165,V-27,27.2,276,2027-06-30
SKU-1166,V-84,9.58,448,2027-08-18
SKU-1167,V-63,72.26,334,2027-10-09
SKU-1168,V-40,21.19,67,2027-03-16
SKU-1169,V-77,36.8,392,2027-09-22
SKU-1170,V-38,77.99,99,2027-04-14
SKU-1171,V-47,88.22,396,2027-06-12
SKU-1172,V-92,30.98,379,2027-11-26
SKU-1173,V-27,15.89,351,2027-06-02
SKU-1174,V-20,74.08,148,2027-12-21
SKU-1175,V-23,91.3,37,2027-03-29
SKU-1176,V-91,93.69,424,2027-08-23
SKU-1177,V-35,3.04,82,2027-06-22
SKU-1178,V-76,47.8,283,2027-01-02
SKU-1179,V-25,5.56,139,2027-08-06
SKU-1180,V-21,6.32,327,2027-07-22
SKU-1181,V-48,64.14,292,2027-02-08
SKU-1182,V-32,8.23,47,2027-07-11
SKU-1183,V-65,99.15,446,2027-11-25
SKU-1184,V-67,78.17,358,2027-03-29
SKU-1185,V-97,70.26,147,2027-04-08
SKU-1186,V-61,13.77,475,2027-06-16
SKU-1187,V-58,27.9,38,2027-07-01
SKU-1188,V-63,60.4,419,2027-10-12
SKU-1189,V-27,62.25,129,2027-09-03
SKU-1190,V-75,56.73,351,2027-09-26
SKU-1191,V-52,65.62,302,2027-06-03
SKU-1192,V-54,24.19,482,2027-04-26
SKU-1193,V-26,32.29,52,2027-09-02
SKU-1194,V-61,74.82,371,2027-05-08
SKU-1195,V-64,87.4,348,2027-07-19
SKU-1196,V-65,48.8,397,2027-07-23
SKU-1197,V-93,37.43,496,2027-04-11
SKU-1198,V-52,10.56,150,2027-11-08
SKU-1199,V-71,69.12,233,2027-01-14
